id,nom,competences
1,User1,"Deep Learning, Azure, Spring, SQL, Data Visualization, Data Analysis, Django, Decision Making, Collaboration, Negotiation"
2,User2,"Data Analysis, Data Visualization, Data Science, GCP, NumPy, Keras, AWS, Adaptability, Collaboration, Time Management"
3,User3,"Azure, GCP, CSS, Deep Learning, Node.js, Machine Learning, Keras, Decision Making, Problem Solving, Communication"
4,User4,"Docker, GCP, React, Spring, SQL, JavaScript, NumPy, Stress Management, Problem Solving, Critical Thinking"
5,User5,"Spring, TensorFlow, Docker, Python, HTML, Data Visualization, CSS, Leadership, Stress Management, Critical Thinking"
6,User6,"Deep Learning, CSS, Java, Azure, Python, C++, Data Visualization, Critical Thinking, Communication, Public Speaking"
7,User7,"HTML, CSS, REST APIs, JavaScript, Python, SQL, NumPy, Problem Solving, Time Management, Teamwork"
8,User8,"C++, AWS, Git, SQL, Data Visualization, Pandas, JavaScript, Adaptability, Emotional Intelligence, Communication"
9,User9,"Pandas, Git, Deep Learning, Keras, GCP, SQL, HTML, Time Management, Public Speaking, Stress Management"
10,User10,"Data Analysis, Data Science, Pandas, Git, Node.js, Deep Learning, React, Leadership, Emotional Intelligence, Teamwork"
11,User11,"Django, REST APIs, TensorFlow, Docker, CSS, Git, AWS, Critical Thinking, Problem Solving, Conflict Resolution"
12,User12,"React, Deep Learning, CSS, NumPy, GCP, Data Analysis, JavaScript, Teamwork, Creativity, Emotional Intelligence"
13,User13,"Data Analysis, Java, React, C++, Machine Learning, AWS, Data Visualization, Communication, Emotional Intelligence, Leadership"
14,User14,"JavaScript, Kubernetes, Machine Learning, Azure, Data Science, Python, Deep Learning, Negotiation, Adaptability, Public Speaking"
15,User15,"SQL, Azure, REST APIs, Java, Data Science, React, Data Visualization, Emotional Intelligence, Collaboration, Time Management"
16,User16,"Spring, AWS, Node.js, JavaScript, React, Data Visualization, NumPy, Critical Thinking, Adaptability, Time Management"
17,User17,"Node.js, NumPy, AWS, Data Science, Azure, Machine Learning, Spring, Collaboration, Critical Thinking, Leadership"
18,User18,"Django, Java, Node.js, NumPy, Python, Machine Learning, React, Problem Solving, Decision Making, Conflict Resolution"
19,User19,"JavaScript, TensorFlow, C++, Data Analysis, React, Git, Machine Learning, Problem Solving, Decision Making, Emotional Intelligence"
20,User20,"JavaScript, CSS, Azure, Keras, Python, NumPy, Pandas, Emotional Intelligence, Communication, Collaboration"
21,User21,"GCP, AWS, JavaScript, Pandas, Node.js, REST APIs, Data Visualization, Decision Making, Collaboration, Negotiation"
22,User22,"Data Visualization, Keras, Azure, Git, React, CSS, Kubernetes, Stress Management, Collaboration, Emotional Intelligence"
23,User23,"Azure, Deep Learning, Git, Machine Learning, Data Visualization, Django, Data Analysis, Leadership, Stress Management, Creativity"
24,User24,"HTML, CSS, Django, Spring, Data Visualization, React, Docker, Collaboration, Conflict Resolution, Negotiation"
25,User25,"SQL, Django, TensorFlow, Data Visualization, JavaScript, Data Analysis, Node.js, Teamwork, Creativity, Time Management"
26,User26,"Git, Machine Learning, REST APIs, Kubernetes, Java, Docker, GCP, Stress Management, Problem Solving, Leadership"
27,User27,"AWS, Java, Machine Learning, Docker, Azure, Git, HTML, Public Speaking, Time Management, Communication"
28,User28,"GCP, Pandas, NumPy, Keras, React, Azure, CSS, Critical Thinking, Problem Solving, Decision Making"
29,User29,"CSS, SQL, REST APIs, NumPy, Keras, React, Data Visualization, Teamwork, Communication, Adaptability"
30,User30,"Python, JavaScript, Data Analysis, Pandas, Node.js, Azure, NumPy, Decision Making, Public Speaking, Adaptability"
31,User31,"Pandas, React, CSS, Keras, Data Visualization, Java, SQL, Time Management, Critical Thinking, Decision Making"
32,User32,"React, Data Visualization, Django, TensorFlow, Docker, HTML, Keras, Critical Thinking, Adaptability, Problem Solving"
33,User33,"Spring, AWS, Node.js, NumPy, CSS, JavaScript, Data Visualization, Emotional Intelligence, Conflict Resolution, Creativity"
34,User34,"REST APIs, Python, Spring, Data Analysis, JavaScript, HTML, React, Problem Solving, Decision Making, Public Speaking"
35,User35,"Azure, NumPy, SQL, Python, TensorFlow, Keras, GCP, Communication, Teamwork, Conflict Resolution"
36,User36,"TensorFlow, Pandas, Java, Node.js, CSS, SQL, Git, Time Management, Problem Solving, Adaptability"
37,User37,"Node.js, AWS, Pandas, NumPy, Deep Learning, Git, JavaScript, Public Speaking, Emotional Intelligence, Teamwork"
38,User38,"Deep Learning, NumPy, Docker, SQL, AWS, React, CSS, Conflict Resolution, Leadership, Negotiation"
39,User39,"Python, HTML, Data Analysis, React, Azure, CSS, Kubernetes, Problem Solving, Public Speaking, Time Management"
40,User40,"Deep Learning, Django, CSS, Spring, Azure, Python, AWS, Communication, Collaboration, Public Speaking"
